PARCELID,Shape_Leng,Shape_Area,PARID2,parid3,Dwelling — Sheet1_MAP ROUTING,Dwelling — Sheet1_CARD,Dwelling — Sheet1_RMTOT,Dwelling — Sheet1_RMBED,Dwelling — Sheet1_RMFAM,Dwelling — Sheet1_RMDIN,Dwelling — Sheet1_FIXBATH,Dwelling — Sheet1_FIXHALF,Dwelling — Sheet1_LIVUNITS,Dwelling — Sheet1_STYLE,Dwelling — Sheet1_STORIES,Dwelling — Sheet1_ATTIC,Dwelling — Sheet1_BSMT,Dwelling — Sheet1_FINBSMTAREA,Dwelling — Sheet1_EXTWALL,Dwelling — Sheet1_UNFINAREA,Dwelling — Sheet1_RECROMAREA,Dwelling — Sheet1_HEAT,Dwelling — Sheet1_FIXADDL,Dwelling — Sheet1_FIXTOT,Dwelling — Sheet1_WBFP_S,Dwelling — Sheet1_WBFP_O,Dwelling — Sheet1_CARSPACESATT,Dwelling — Sheet1_CARSPACESBSMT,Dwelling — Sheet1_CARPORTSPACES,Dwelling — Sheet1_GRADE,Dwelling — Sheet1_WELLSEPTIC,Dwelling — Sheet1_YRBLT,Dwelling — Sheet1_YRREMOD,Dwelling — Sheet1_EFFYR,Dwelling — Sheet1_COND,Dwelling — Sheet1_AREAFACT,Dwelling — Sheet1_ADJAREA,Dwelling — Sheet1_SHFACT,Dwelling — Sheet1_CNSTFACT,Dwelling — Sheet1_GRDFACT,Dwelling — Sheet1_DEPR,Dwelling — Sheet1_MKTADJ,Dwelling — Sheet1_MGFA,Dwelling — Sheet1_ADDNAREA,Dwelling — Sheet1_SFLA,Dwelling — Sheet1_FLR1AREA,Dwelling — Sheet1_ADJRCNLD,Value — Sheet1_TaxYear,Value — Sheet1_ValueType,Value — Sheet1_LUC,Value — Sheet1_LUCDesc,Value — Sheet1_MarketLand,Value — Sheet1_MarketImpr,Value — Sheet1_CauvLand,Value — Sheet1_TaxableLand,Value — Sheet1_TaxableImpr
"050-000256",557.52161911200,13260.25975140000,"050-000256","050-000256-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,89000,6900,0,31150,2420
"050-000257",442.44930221100,10041.38165860000,"050-000257","050-000257-00","050-N043-10600",1,7,3,1,,2,,"1","05 - RANCH",1 - 1 Story,"0 - NO ATTIC",B - FULL BASEMENT,,2 - STUCCO,,,2 - HEAT/AIR CON,3,9,1,1,,,,C-1 - AVERAGE -,,1929,1974,1974,A - AVERAGE,0.916,1056,1,1,0.95,70,,1056,980,2036,1079,215400,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,93200,215400,0,32620,75390
"050-000258",635.07220949100,21715.72197590000,"050-000258","050-000258-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Base,407,407 - COMMERCIAL LAWN/GARDEN SALES,95900,49200,0,33570,17220
"050-000259",350.77394574300,5205.53486760000,"050-000259","050-000259-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Exempt,640,640 - EXEMPT PROPERTY OWNED BY CITIES,25400,0,0,8890,0
"050-000260",451.41517825500,12728.92773130000,"050-000260","050-000260-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Base,447,447 - OFFICE BLDG 1 & 2 STORIES,97300,1107900,0,34060,387770
"050-000261",218.01303701500,2032.07243630000,"050-000261","050-000261-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Base,447,447 - OFFICE BLDG 1 & 2 STORIES,16400,0,0,5740,0
"050-000262",493.05862535200,13440.69172510000,"050-000262","050-000262-00","050-N043-10500",1,18,15,,,3,3,"3",14 - TRIPLEX,2 - 2 Story,"0 - NO ATTIC","0 - NONE",,1 - WD/ALUM/VINYL,,,2 - HEAT/AIR CON,6,21,,,,,,C+1 - AVERAGE +,,1989,,,G - GOOD,1.371,1836,1.69,1,1.05,80,,1836,0,3672,1840,312800,2024,Base,530,530 - THREE-FAMILY DWLG ON PLATTED LOT,101900,331200,0,35670,115920
"050-000263",536.11705284700,10937.81438930000,"050-000263","050-000263-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Base,407,407 - COMMERCIAL LAWN/GARDEN SALES,47900,137000,0,16770,47950
"050-000264",415.02588595400,7913.68317921000,"050-000264","050-000264-00","050-N043-10700",1,5,3,1,,1,1,"1","01 - CONVENTIONAL",2 - 2 Story,"0 - NO ATTIC",B - FULL BASEMENT,,1 - WD/ALUM/VINYL,,400,2 - HEAT/AIR CON,2,7,1,1,,,,C - AVERAGE QUALITY,,1920,2001,2001,G - GOOD,0.757,784,1.69,1,1,75,,784,684,2252,799,256300,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,86700,261300,0,30350,91460
"050-000265",437.42819989300,9669.21508513000,"050-000265","050-000265-00","050-N043-10800",1,7,3,1,,2,1,"1","01 - CONVENTIONAL",2 - 2 Story,"0 - NO ATTIC",B - FULL BASEMENT,,2 - STUCCO,,,2 - HEAT/AIR CON,2,10,,,,,,C+1 - AVERAGE +,,1915,2000,2000,G - GOOD,0.751,773,1.69,1,1.05,75,,773,494,2040,779,222800,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,91000,237200,0,31850,83020
"050-000266",536.92735120900,11024.75508790000,"050-000266","050-000266-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,89000,2600,0,31150,910
"050-000267",501.55484460400,9745.66786357000,"050-000267","050-000267-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Base,454,454 - AUTO SALES AND SERVICE,80100,0,0,28040,0
"050-000269",650.97280851600,22468.31987230000,"050-000269","050-000269-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Base,447,447 - OFFICE BLDG 1 & 2 STORIES,74300,0,0,26010,0
"050-000270",866.04532361900,22961.28187410000,"050-000270","050-000270-00","050-N043-03200",1,5,3,,,2,,"1","07 - OLD STYLE",2 - 2 Story,"0 - NO ATTIC",7 - 1/4 BASEMENT 3/4 CRAWL,,1 - WD/ALUM/VINYL,,,2 - HEAT/AIR CON,2,8,,,,,,C-1 - AVERAGE -,,1921,2016,2016,G - GOOD,0.624,556,1.69,1,0.95,84,,556,534,1646,568,206100,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,107000,228200,0,37450,79870
"050-000271",380.99382070700,6993.74658755000,"050-000271","050-000271-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Exempt,640,640 - EXEMPT PROPERTY OWNED BY CITIES,36700,0,0,12850,0
"050-000272",638.86484151400,13486.90905930000,"050-000272","050-000272-00","050-O062B-02400",1,6,3,1,,1,,"1",15 - OTHER/CONVERSION,2 - 2 Story,"0 - NO ATTIC",B - FULL BASEMENT,,1 - WD/ALUM/VINYL,,,2 - HEAT/AIR CON,2,5,,,,,,C+1 - AVERAGE +,,1925,,,A - AVERAGE,0.692,672,1.69,1,1.05,85,70,672,287,1631,675,173900,2024,Base,471,471 - DWELLING CONVERTED TO RETAIL,118800,175300,0,41580,61360
"050-000273",576.93205317300,12634.14639920000,"050-000273","050-000273-00","050-N043-03500",1,5,3,,,1,,"1","05 - RANCH",1 - 1 Story,"0 - NO ATTIC",B - FULL BASEMENT,,91 - 1/6 MASONRY TO FRAME .167,,300,2 - HEAT/AIR CON,2,5,,,,,,D+2 - BELOW AVERAGE ++,,1893,2005,2005,G - GOOD,0.86,960,1,1.016,0.85,75,,960,0,960,967,130100,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,96200,132400,0,33670,46340
"050-000274",421.67817093000,8068.39914619000,"050-000274","050-000274-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Base,442,442 - MEDICAL CLINICS AND OFFICES,99800,630000,0,34930,220500
"050-000275",798.54867104100,31962.75322670000,"050-000275","050-000275-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Exempt,660,660 - EXEMPT PROPERTY OWNED BY PARK DIST,316800,99400,0,110880,34790
"050-000281",401.17013930300,7578.48571606000,"050-000281","050-000281-00","050-N042-20100",1,6,2,,,1,1,"1",10 - CAPE COD,1 - 1 Story,4 - FULL ATTIC FINISH,B - FULL BASEMENT,,91 - 1/6 MASONRY TO FRAME .167,,,2 - HEAT/AIR CON,2,7,,,,,,D+2 - BELOW AVERAGE ++,,1940,,,G - GOOD,1.086,1348,1,1.016,0.85,75,,1348,47,2042,1350,167500,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,85000,170400,0,29750,59640
"050-000282",172.60649763200,1826.13837465000,"050-000282","050-000282-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Base,480,480 - COMMERCIAL WAREHOUSE,14400,0,0,5040,0
"050-000283",398.25287472300,8542.68721470000,"050-000283","050-000283-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,TIF,720,720 - ABATED PROPERTY FOR CITY IMPROVEMENTS/TIF,61900,0,0,21670,0
"050-000284",396.97945544400,7350.98100559000,"050-000284","050-000284-00","050-N042-21600",1,5,3,,,1,,"1",10 - CAPE COD,1 - 1 Story,4 - FULL ATTIC FINISH,9 - 3/4 BASEMENT 1/4 CRAWL,,1 - WD/ALUM/VINYL,,,2 - HEAT/AIR CON,3,6,1,1,,,,C-1 - AVERAGE -,,1940,1960,1960,A - AVERAGE,0.921,1064,1,1,0.95,70,,1064,0,1575,1067,142200,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,85000,145800,0,29750,51030
"050-000286",647.61913294100,13673.73607000000,"050-000286","050-000286-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,TIF,720,720 - ABATED PROPERTY FOR CITY IMPROVEMENTS/TIF,107400,1055600,0,37590,369460
"050-000287",644.72348253100,13738.75549860000,"050-000287","050-000287-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,TIF,720,720 - ABATED PROPERTY FOR CITY IMPROVEMENTS/TIF,72800,0,0,25480,0
"050-000288",711.95657922600,25937.62498840000,"050-000288","050-000288-00","050-O062B-02500",1,5,3,,,1,,"1",15 - OTHER/CONVERSION,1 - 1 Story,"0 - NO ATTIC",B - FULL BASEMENT,,1 - WD/ALUM/VINYL,,,2 - HEAT/AIR CON,2,5,,,,,,D+2 - BELOW AVERAGE ++,,1953,,,A - AVERAGE,1.058,1300,1,1,0.85,85,27,1300,252,1552,1304,52200,2024,Base,471,471 - DWELLING CONVERTED TO RETAIL,171200,61000,0,59920,21350
"050-000289",318.34605112700,5937.08205751000,"050-000289","050-000289-00","050-N043-07100",1,5,3,,,1,,"1","05 - RANCH",1 - 1 Story,"0 - NO ATTIC",B - FULL BASEMENT,,91 - 1/6 MASONRY TO FRAME .167,,240,2 - HEAT/AIR CON,2,5,,,,,1 - 1 Car Space,D+2 - BELOW AVERAGE ++,,1955,,,A - AVERAGE,0.86,960,1,1.016,0.85,70,,960,0,960,964,107400,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,73200,107400,0,25620,37590
"050-000290",616.54293205600,13646.72514680000,"050-000290","050-000290-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,TIF,720,720 - ABATED PROPERTY FOR CITY IMPROVEMENTS/TIF,78700,4200,0,27550,1470
"050-000293",402.15390629000,7661.94352747000,"050-000293","050-000293-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,85000,0,0,29750,0
"050-000294",398.85409590400,7408.46556065000,"050-000294","050-000294-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Base,599,599 - OTHER RESIDENTIAL,85000,3300,0,29750,1160
"050-000295",398.69594111200,7388.88396780000,"050-000295","050-000295-00","050-N043-02800",1,4,2,,,1,1,"1",10 - CAPE COD,1.5 - 1 1/2 Story,"0 - NO ATTIC",B - FULL BASEMENT,,91 - 1/6 MASONRY TO FRAME .167,,,2 - HEAT/AIR CON,2,7,,,1 - 1 Car Space,,,C - AVERAGE QUALITY,,1938,,,G - GOOD,0.694,676,1.49,1.024,1,75,,676,217,1434,684,174200,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,85000,174600,0,29750,61110
"050-000296",398.54933883900,7643.69509622000,"050-000296","050-000296-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Base,500,500 - VACANT PLATTED RES LAND,82500,0,0,28880,0
"050-000297",613.91931655800,14789.90444980000,"050-000297","050-000297-00","050-N043-00300",1,6,3,,,2,,"1",10 - CAPE COD,1 - 1 Story,4 - FULL ATTIC FINISH,B - FULL BASEMENT,,8 - STONE,,,2 - HEAT/AIR CON,2,8,1,1,,,,C - AVERAGE QUALITY,,1950,,,A - AVERAGE,1.051,1288,1,1.097,1,70,,1288,0,1906,1293,193700,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,90300,197900,0,31610,69270
"050-000298",355.00214964800,7374.23483092000,"050-000298","050-000298-00","050-N043-00400",1,4,2,,,1,,"1",10 - CAPE COD,1 - 1 Story,3 - 3/4 ATTIC FINISH,B - FULL BASEMENT,,1 - WD/ALUM/VINYL,,,2 - HEAT/AIR CON,2,5,1,1,,,,C-1 - AVERAGE -,,1952,,,A - AVERAGE,0.785,832,1,1,0.95,70,,832,60,1192,836,127100,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,78900,129800,0,27620,45430
"050-000299",355.76150067700,7402.90950148000,"050-000299","050-000299-00","050-N043-00500",1,6,3,,,1,,"1",10 - CAPE COD,1 - 1 Story,3 - 3/4 ATTIC FINISH,B - FULL BASEMENT,,1 - WD/ALUM/VINYL,,,2 - HEAT/AIR CON,2,5,1,1,,,,C-1 - AVERAGE -,,1947,,,G - GOOD,0.9,1028,1,1,0.95,75,,1028,0,1398,1030,146300,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,78900,148800,0,27620,52080
"050-000300",353.42731434500,7259.76266896000,"050-000300","050-000300-00","050-N043-00600",1,5,3,,,1,1,"1","01 - CONVENTIONAL",1 - 1 Story,"0 - NO ATTIC",B - FULL BASEMENT,,91 - 1/6 MASONRY TO FRAME .167,,400,2 - HEAT/AIR CON,2,7,,,,,1 - 1 Car Space,C-1 - AVERAGE -,,1961,,,A - AVERAGE,0.937,1092,1,1.016,0.95,70,,1092,0,1092,1096,139500,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,78900,139500,0,27620,48830
"050-000301",360.13857450300,7622.42693670000,"050-000301","050-000301-00","050-N043-00700",1,6,2,1,,2,,"1","05 - RANCH",1 - 1 Story,"0 - NO ATTIC",B - FULL BASEMENT,,91 - 1/6 MASONRY TO FRAME .167,,360,2 - HEAT/AIR CON,2,8,1,1,1.5 - 1 1/2 Car Spaces,,,C-1 - AVERAGE -,,1962,1995,1995,A - AVERAGE,0.954,1122,1,1.016,0.95,70,,1122,0,1122,1131,166600,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,78900,166600,0,27620,58310
"050-000302",353.78211064300,7252.48971814000,"050-000302","050-000302-00","050-N043-00800",1,6,3,,,1,,"1",10 - CAPE COD,1 - 1 Story,3 - 3/4 ATTIC FINISH,B - FULL BASEMENT,,1 - WD/ALUM/VINYL,,,2 - HEAT/AIR CON,2,5,,,1 - 1 Car Space,,,D+2 - BELOW AVERAGE ++,,1950,2010,2010,G - GOOD,0.664,625,1,1,0.85,75,,625,176,1026,632,114300,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,78900,114300,0,27620,40010
"050-000303",358.08571137100,7480.66906480000,"050-000303","050-000303-00","050-N043-00900",1,5,2,,,2,,"1","05 - RANCH",1 - 1 Story,"0 - NO ATTIC",B - FULL BASEMENT,,1 - WD/ALUM/VINYL,,,2 - HEAT/AIR CON,2,8,1,1,,,,D+2 - BELOW AVERAGE ++,,1952,2004,2004,A - AVERAGE,0.748,768,1,1,0.85,70,,768,480,1248,777,120100,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,78900,121900,0,27620,42670
"050-000304",359.05305582100,7522.05051629000,"050-000304","050-000304-00","050-N043-01000",1,4,2,,,1,,"1","05 - RANCH",1 - 1 Story,"0 - NO ATTIC",B - FULL BASEMENT,,92 - 2/6 MASONRY TO FRAME .333,,300,2 - HEAT/AIR CON,2,5,1,1,,,,D+2 - BELOW AVERAGE ++,,1958,1995,1995,A - AVERAGE,0.755,780,1,1.032,0.85,70,,780,238,1018,787,118600,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,78900,122000,0,27620,42700
"050-000305",357.15434971500,7399.70765091000,"050-000305","050-000305-00","050-N043-01100",1,5,2,1,,1,,"1",10 - CAPE COD,1 - 1 Story,3 - 3/4 ATTIC FINISH,B - FULL BASEMENT,,1 - WD/ALUM/VINYL,,,2 - HEAT/AIR CON,2,5,1,1,,,,D+2 - BELOW AVERAGE ++,,1951,,,A - AVERAGE,0.755,780,1,1,0.85,70,,780,68,1129,785,113100,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,78900,116800,0,27620,40880
"050-000306",359.94381152300,7543.98390018000,"050-000306","050-000306-00","050-N043-01200",1,5,3,,,1,,"1","05 - RANCH",1 - 1 Story,"0 - NO ATTIC",B - FULL BASEMENT,,1 - WD/ALUM/VINYL,,,2 - HEAT/AIR CON,2,5,,,,,,D+2 - BELOW AVERAGE ++,,1952,,,A - AVERAGE,0.977,1160,1,1,0.85,70,,1160,0,1160,1162,113400,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,78900,115400,0,27620,40390
"050-000307",355.44690749200,7276.73332859000,"050-000307","050-000307-00","050-N043-01300",1,4,2,,,1,,"1","05 - RANCH",1 - 1 Story,"0 - NO ATTIC",B - FULL BASEMENT,,1 - WD/ALUM/VINYL,,,2 - HEAT/AIR CON,2,5,,,2 - 2 Car Spaces,,,D+2 - BELOW AVERAGE ++,,1944,,,A - AVERAGE,0.977,1160,1,1,0.85,70,,1160,0,1160,1166,125700,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,78900,125700,0,27620,44000
"050-000308",364.77819152300,7794.50689632000,"050-000308","050-000308-00","050-N043-01400",1,5,3,,,2,1,"1",10 - CAPE COD,1 - 1 Story,4 - FULL ATTIC FINISH,B - FULL BASEMENT,,1 - WD/ALUM/VINYL,,,2 - HEAT/AIR CON,6,14,,,,,,D+2 - BELOW AVERAGE ++,,1954,2021,2021,G - GOOD,0.748,768,1,1,0.85,84,,768,0,1137,769,133200,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,78900,141200,0,27620,49420
"050-000309",364.31151653900,7701.84299920000,"050-000309","050-000309-00","050-N043-01500",1,6,4,,,1,,"1",10 - CAPE COD,1 - 1 Story,3 - 3/4 ATTIC FINISH,B - FULL BASEMENT,,1 - WD/ALUM/VINYL,,,2 - HEAT/AIR CON,2,5,,,,,,D+2 - BELOW AVERAGE ++,,1954,1980,1980,A - AVERAGE,0.748,768,1,1,0.85,70,,768,0,1044,770,97200,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,79900,97600,0,27970,34160
"050-000310",356.61647980400,7383.10582576000,"050-000310","050-000310-00","050-N043-01600",1,5,2,1,,2,,"1","05 - RANCH",1 - 1 Story,"0 - NO ATTIC","0 - NONE",,1 - WD/ALUM/VINYL,,,2 - HEAT/AIR CON,2,8,1,1,2 - 2 Car Spaces,,,D+2 - BELOW AVERAGE ++,,1954,1996,1996,A - AVERAGE,0.822,896,1,1,0.85,70,,896,640,1536,916,153200,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,79900,153200,0,27970,53620
"050-000311",359.61865007800,7557.40926799000,"050-000311","050-000311-00","050-N043-01700",1,6,3,1,,2,,"1","05 - RANCH",1 - 1 Story,"0 - NO ATTIC",C - FULL CRAWL,,91 - 1/6 MASONRY TO FRAME .167,,,2 - HEAT/AIR CON,2,8,1,1,2 - 2 Car Spaces,,,C - AVERAGE QUALITY,,1958,,,A - AVERAGE,1.135,1432,1,1.016,1,70,,1432,408,1840,1444,199000,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,79900,199000,0,27970,69650
"050-000312",355.07962635800,7307.62194840000,"050-000312","050-000312-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,78900,0,0,27620,0
"050-000313",360.63290899800,7626.37026363000,"050-000313","050-000313-00","050-N043-01900",1,7,3,,,2,,"1",10 - CAPE COD,1 - 1 Story,3 - 3/4 ATTIC FINISH,B - FULL BASEMENT,,1 - WD/ALUM/VINYL,,,2 - HEAT/AIR CON,3,9,,,1 - 1 Car Space,,,D+2 - BELOW AVERAGE ++,,1952,2023,2023,G - GOOD,0.776,816,1,1,0.85,80,,816,126,1236,823,144600,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,78900,144600,0,27620,50610
"050-000314",355.98515145900,7370.24436220000,"050-000314","050-000314-00","050-N043-02000",1,6,3,1,,1,,"1",10 - CAPE COD,1 - 1 Story,4 - FULL ATTIC FINISH,C - FULL CRAWL,,1 - WD/ALUM/VINYL,,,2 - HEAT/AIR CON,2,5,1,1,,,,D+2 - BELOW AVERAGE ++,,1948,2018,2018,G - GOOD,0.748,768,1,1,0.85,84,,768,504,1641,780,163000,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,78900,163000,0,27620,57050
"050-000315",355.69106809300,7358.81574308000,"050-000315","050-000315-00","050-N043-02100",1,6,3,1,,2,1,"1","03 - MULTI-LEVEL",1 - 1 Story,"0 - NO ATTIC",8 - 1/2 BASEMENT 1/2 CRAWL,500,1 - WD/ALUM/VINYL,,,2 - HEAT/AIR CON,2,10,,,2 - 2 Car Spaces,,,C+1 - AVERAGE +,,1999,,,A - AVERAGE,0.991,1185,1,1,1.05,78,,1185,20,1205,1191,194700,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,78900,194700,0,27620,68150
"050-000316",478.98726641300,10990.67771940000,"050-000316","050-000316-00","050-N043-02200",1,6,3,1,,1,,"1","05 - RANCH",1 - 1 Story,"0 - NO ATTIC",B - FULL BASEMENT,,91 - 1/6 MASONRY TO FRAME .167,,450,2 - HEAT/AIR CON,2,5,,,,,,C-1 - AVERAGE -,,1954,,,A - AVERAGE,0.941,1099,1,1.016,0.95,70,,1099,0,1099,1105,148400,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,78900,150900,0,27620,52820
"050-000317",349.45240307400,7029.49393667000,"050-000317","050-000317-00","050-N043-02300",1,7,3,1,,1,,"1",10 - CAPE COD,1 - 1 Story,4 - FULL ATTIC FINISH,9 - 3/4 BASEMENT 1/4 CRAWL,,91 - 1/6 MASONRY TO FRAME .167,,,2 - HEAT/AIR CON,2,5,,,1 - 1 Car Space,,,D+2 - BELOW AVERAGE ++,,1964,1984,1984,G - GOOD,0.876,988,1,1.016,0.85,76,,988,0,1462,996,149300,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,78900,149700,0,27620,52400
"050-000318",425.78490491900,11303.54443850000,"050-000318","050-000318-00","050-N043-02400",1,4,2,,,1,,"1","05 - RANCH",1 - 1 Story,"0 - NO ATTIC",B - FULL BASEMENT,,1 - WD/ALUM/VINYL,,,2 - HEAT/AIR CON,2,5,,,3 - 3 Car Spaces,,,C-1 - AVERAGE -,,1951,,,A - AVERAGE,0.874,984,1,1,0.95,70,,984,80,1064,993,139800,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,91000,141300,0,31850,49460
"050-000319",551.98616684900,5100.10578198000,"050-000319","050-000319-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Base,425,425 - NEIGHBORHOOD SHOPPING CENTER,47700,0,0,16700,0
"050-000320",496.15116793400,12644.49591470000,"050-000320","050-000320-00","050-N043-02600",1,5,2,1,,1,1,"1","05 - RANCH",1 - 1 Story,"0 - NO ATTIC",B - FULL BASEMENT,,2 - STUCCO,,380,2 - HEAT/AIR CON,2,7,1,1,2 - 2 Car Spaces,,,D+2 - BELOW AVERAGE ++,,1948,,,A - AVERAGE,0.814,882,1,1,0.85,70,,882,280,1162,893,139500,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,109400,139500,0,38290,48830
"050-000321",647.59007192000,15756.72164130000,"050-000321","050-000321-00","050-N043-03100",1,6,3,1,,1,1,"1",10 - CAPE COD,1.5 - 1 1/2 Story,"0 - NO ATTIC",C - FULL CRAWL,,1 - WD/ALUM/VINYL,,,2 - HEAT/AIR CON,2,7,1,1,,,,B+2 - GOOD ++,,1900,2024,2024,A - AVERAGE,0.766,800,1.49,1,1.4,79,,800,3030,4470,834,612400,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,102800,341400,0,35980,119490
"050-000322",533.02573847400,11568.10956850000,"050-000322","050-000322-00","050-N042-19100",1,7,3,,,2,,"1","05 - RANCH",1 - 1 Story,"0 - NO ATTIC",B - FULL BASEMENT,,91 - 1/6 MASONRY TO FRAME .167,,950,2 - HEAT/AIR CON,2,8,1,1,,,,C-1 - AVERAGE -,,1954,,,G - GOOD,0.998,1196,1,1.016,0.95,80,,1196,453,1649,1204,228700,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,94000,246000,0,32900,86100
"050-000323",530.63138827500,11293.48840550000,"050-000323","050-000323-00","050-N042-18500",1,5,3,,,1,,"1",10 - CAPE COD,1 - 1 Story,2 - 1/2 ATTIC FINISH,"0 - NONE",,1 - WD/ALUM/VINYL,,,2 - HEAT/AIR CON,2,5,1,1,2 - 2 Car Spaces,,,C-1 - AVERAGE -,,1955,,,A - AVERAGE,1,1200,1,1,0.95,75,,1200,552,2040,1208,186100,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,95700,186100,0,33500,65140
"050-000324",453.32646329800,11521.93007460000,"050-000324","050-000324-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Base,470,470 - DWELLING CONVERTED TO OFFICE,123800,297200,0,43330,104020
"050-000325",475.78727190200,8989.18751729000,"050-000325","050-000325-00","050-N041-08200",1,4,1,1,,1,,"1","05 - RANCH",1 - 1 Story,"0 - NO ATTIC",C - FULL CRAWL,,1 - WD/ALUM/VINYL,,,2 - HEAT/AIR CON,2,5,,,,,,D-1 - BELOW AVERAGE -,,1946,,,G - GOOD,0.659,616,1,1,0.7,75,,616,336,952,625,82600,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,91000,89300,0,31850,31260
